Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (UTC),Year,Month,Day,Time (UTC),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 17:00,2021,3,14,17:00,5.5,,5,,96,,1.2,,36,,2,,,,100.4,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 18:00,2021,3,14,18:00,6.5,,6.1,,97,,1.1,,13,,2,,,,100.33,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 19:00,2021,3,14,19:00,7,,6.1,,94,,1.2,,13,,8,,,,100.3,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 20:00,2021,3,14,20:00,6.9,,6,,94,,0.8,,14,,9,,,,100.28,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 21:00,2021,3,14,21:00,6.7,,6,,95,,0.8,,14,,8,,,,100.26,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 22:00,2021,3,14,22:00,6.6,,6.1,,96,,1.5,,16,,9,,,,100.22,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/14/2021 23:00,2021,3,14,23:00,6.5,,5.4,,93,,1.3,,13,,13,,,,100.23,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 0:00,2021,3,15,0:00,6.4,,4.4,,87,,0.4,,13,,20,,,,100.24,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 1:00,2021,3,15,1:00,6.7,,4.7,,87,,0.2,,13,,14,,,,100.35,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 2:00,2021,3,15,2:00,6.3,,2.9,,79,,0,,13,,13,,,,100.42,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 3:00,2021,3,15,3:00,5.7,,2.5,,80,,0,,12,,10,,,,100.53,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 4:00,2021,3,15,4:00,5.3,,1.9,,79,,0,,14,,9,,,,100.63,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 5:00,2021,3,15,5:00,4.8,,0.8,,75,,0,,14,,8,,,,100.74,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 6:00,2021,3,15,6:00,4.1,,-0.1,,74,,0,,14,,8,,,,100.84,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 7:00,2021,3,15,7:00,3.5,,-1.2,,71,,0,,13,,7,,,,100.91,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 8:00,2021,3,15,8:00,0.7,,-0.3,,93,,0,,5,,3,,,,101.01,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 9:00,2021,3,15,9:00,-0.5,,-1.2,,95,,0,,4,,2,,,,101.06,,,,-1,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 10:00,2021,3,15,10:00,-1,,-1.4,,97,,0,,0,,1,,,,101.16,,,,-1,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 11:00,2021,3,15,11:00,-1,,-1.3,,97,,0,,4,,2,,,,101.19,,,,-2,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 12:00,2021,3,15,12:00,-1.4,,-1.9,,97,,0,,2,,3,,,,101.25,,,,-2,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 13:00,2021,3,15,13:00,-1.6,,-2,,98,,0,,6,,2,,,,101.34,,,,-2,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 14:00,2021,3,15,14:00,-2.3,,-2.7,,97,,0,,31,,1,,,,101.42,,,,-3,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 15:00,2021,3,15,15:00,-1.9,,-2.2,,97,,0,,,,0,,,,101.48,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 16:00,2021,3,15,16:00,-0.2,,-0.6,,97,,0,,32,,2,,,,101.55,,,,-1,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 17:00,2021,3,15,17:00,3.1,,0.7,,84,,0,,35,,4,,,,101.58,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 18:00,2021,3,15,18:00,5,,0.5,,73,,0,,35,,6,,,,101.57,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 19:00,2021,3,15,19:00,8.2,,-0.3,,55,,0,,29,,7,,,,101.53,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 20:00,2021,3,15,20:00,9.4,,-2.4,,44,,0,,27,,9,,,,101.52,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 21:00,2021,3,15,21:00,10.7,,-3.1,,38,,0,,27,,6,,,,101.48,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 22:00,2021,3,15,22:00,11.6,,-4.2,,33,,0,,24,,6,,,,101.47,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/15/2021 23:00,2021,3,15,23:00,11,,-1.5,,42,,0,,17,,13,,,,101.46,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 0:00,2021,3,16,0:00,9.7,,-1.1,,47,,0,,14,,10,,,,101.47,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 1:00,2021,3,16,1:00,8.1,,-1.1,,52,,0,,14,,9,,,,101.48,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 2:00,2021,3,16,2:00,5.5,,0,,67,,0,,31,,2,,,,101.51,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 3:00,2021,3,16,3:00,3.2,,0.5,,83,,0,,5,,2,,,,101.57,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 4:00,2021,3,16,4:00,2.2,,0.8,,91,,0,,5,,2,,,,101.63,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 5:00,2021,3,16,5:00,1.4,,-0.8,,85,,0,,3,,5,,,,101.68,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 6:00,2021,3,16,6:00,1.4,,-0.2,,89,,0,,3,,6,,,,101.71,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 7:00,2021,3,16,7:00,0.2,,-0.6,,94,,0,,2,,2,,,,101.73,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 8:00,2021,3,16,8:00,-0.5,,-1.3,,94,,0,,4,,2,,,,101.75,,,,-1,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 9:00,2021,3,16,9:00,-0.8,,-1.5,,95,,0,,4,,4,,,,101.77,,,,-2,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 10:00,2021,3,16,10:00,-1.3,,-2,,95,,0,,3,,3,,,,101.77,,,,-2,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 11:00,2021,3,16,11:00,-1.5,,-2.1,,96,,0,,4,,3,,,,101.75,,,,-3,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 12:00,2021,3,16,12:00,-2.1,,-2.7,,96,,0,,2,,2,,,,101.73,,,,-3,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 13:00,2021,3,16,13:00,-2,,-2.5,,97,,0,,4,,2,,,,101.75,,,,-3,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 14:00,2021,3,16,14:00,-2.2,,-2.7,,96,,0,,3,,2,,,,101.73,,,,-3,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 15:00,2021,3,16,15:00,-1.7,,-2.4,,95,,0,,3,,3,,,,101.73,,,,-3,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 16:00,2021,3,16,16:00,-0.5,,-1.6,,92,,0,,0,,1,,,,101.71,,,,-1,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 17:00,2021,3,16,17:00,2,,-0.7,,83,,0,,31,,3,,,,101.66,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 18:00,2021,3,16,18:00,5.1,,-1.3,,63,,0,,30,,3,,,,101.6,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 19:00,2021,3,16,19:00,7.7,,-3.3,,46,,0,,27,,3,,,,101.53,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 20:00,2021,3,16,20:00,9.4,,-4.1,,38,,0,,22,,4,,,,101.46,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 21:00,2021,3,16,21:00,10.4,,-2.2,,41,,0,,17,,11,,,,101.37,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 22:00,2021,3,16,22:00,10.2,,-2.6,,40,,0,,16,,12,,,,101.29,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/16/2021 23:00,2021,3,16,23:00,10.4,,-1.7,,43,,0,,17,,14,,,,101.24,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 0:00,2021,3,17,0:00,10.2,,-0.6,,47,,0,,15,,12,,,,101.19,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 1:00,2021,3,17,1:00,8.2,,0,,56,,0,,15,,8,,,,101.18,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 2:00,2021,3,17,2:00,6.1,,0.1,,65,,0,,21,,1,,,,101.2,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 3:00,2021,3,17,3:00,3.9,,0.8,,80,,0,,0,,1,,,,101.24,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 4:00,2021,3,17,4:00,2.2,,0.2,,86,,0,,5,,3,,,,101.27,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 5:00,2021,3,17,5:00,1.7,,0.1,,89,,0,,4,,2,,,,101.29,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 6:00,2021,3,17,6:00,0.9,,-0.3,,92,,0,,4,,2,,,,101.29,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 7:00,2021,3,17,7:00,0.9,,-0.1,,93,,0,,1,,2,,,,101.29,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 8:00,2021,3,17,8:00,1,,-0.1,,92,,0,,4,,2,,,,101.28,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 9:00,2021,3,17,9:00,0.4,,-0.6,,93,,0,,35,,2,,,,101.27,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 10:00,2021,3,17,10:00,0.4,,-0.3,,95,,0,,0,,1,,,,101.25,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 11:00,2021,3,17,11:00,0.5,,-0.4,,94,,0,,4,,3,,,,101.27,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 12:00,2021,3,17,12:00,0.5,,-0.3,,95,,0,,3,,3,,,,101.27,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 13:00,2021,3,17,13:00,0.3,,-0.2,,96,,0,,2,,2,,,,101.27,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 14:00,2021,3,17,14:00,-0.3,,-0.9,,96,,0,,4,,3,,,,101.27,,,,-1,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 15:00,2021,3,17,15:00,-0.1,,-0.6,,96,,0,,0,,1,,,,101.29,,,,0,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 16:00,2021,3,17,16:00,1.9,,0.9,,93,,0,,35,,2,,,,101.26,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 17:00,2021,3,17,17:00,4,,0.6,,78,,0,,34,,5,,,,101.23,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 18:00,2021,3,17,18:00,6.6,,0.5,,65,,0,,31,,3,,,,101.16,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 19:00,2021,3,17,19:00,9.3,,0,,52,,0,,32,,4,,,,101.05,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 20:00,2021,3,17,20:00,11.2,,-1,,43,,0,,30,,5,,,,100.95,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 21:00,2021,3,17,21:00,13.5,,-0.6,,38,,0,,33,,6,,,,100.85,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 22:00,2021,3,17,22:00,14.1,,-2.4,,32,,0,,22,,4,,,,100.76,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/17/2021 23:00,2021,3,17,23:00,12.6,,0.2,,42,,0,,14,,7,,,,100.74,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 0:00,2021,3,18,0:00,11.7,,0,,44,,0,,15,,8,,,,100.72,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 1:00,2021,3,18,1:00,11.2,,0.1,,46,,0,,19,,2,,,,100.65,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 2:00,2021,3,18,2:00,9,,2.7,,65,,0,,3,,1,,,,100.58,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 3:00,2021,3,18,3:00,6.4,,2.7,,77,,0,,4,,3,,,,100.58,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 4:00,2021,3,18,4:00,5.4,,2.8,,83,,0,,2,,4,,,,100.59,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 5:00,2021,3,18,5:00,4.6,,2.3,,85,,0,,4,,3,,,,100.58,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 6:00,2021,3,18,6:00,5.1,,2.7,,84,,0,,4,,2,,,,100.6,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 7:00,2021,3,18,7:00,5.6,,2.4,,80,,0,,1,,2,,,,100.57,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 8:00,2021,3,18,8:00,5.9,,1.8,,75,,0,,36,,3,,,,100.54,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 9:00,2021,3,18,9:00,5.7,,1.9,,77,,0,,3,,4,,,,100.53,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 10:00,2021,3,18,10:00,3.7,,1.7,,87,,0,,4,,3,,,,100.51,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 11:00,2021,3,18,11:00,3,,1.7,,91,,0,,4,,3,,,,100.43,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 12:00,2021,3,18,12:00,2.6,,1,,89,,0,,36,,4,,,,100.33,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 13:00,2021,3,18,13:00,2.3,,0.9,,91,,0,,2,,3,,,,100.25,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 14:00,2021,3,18,14:00,2.1,,0.7,,90,,0,,1,,4,,,,100.18,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 15:00,2021,3,18,15:00,3.6,,1.4,,85,,0,,36,,4,,,,100.14,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 16:00,2021,3,18,16:00,4.5,,1.4,,80,,0,,1,,3,,,,100.14,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 17:00,2021,3,18,17:00,5,,1.9,,80,,0,,1,,4,,,,100.19,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 18:00,2021,3,18,18:00,4.8,,3.7,,93,,0,,3,,3,,,,100.27,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 19:00,2021,3,18,19:00,4.6,,3.7,,94,,0.9,,1,,3,,,,100.29,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 20:00,2021,3,18,20:00,4.8,,4.2,,96,,2.8,,16,,2,,,,100.33,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 21:00,2021,3,18,21:00,5.8,,5.4,,97,,1.6,,33,,5,,,,100.31,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 22:00,2021,3,18,22:00,6.3,,5.8,,97,,0,,31,,4,,,,100.16,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/18/2021 23:00,2021,3,18,23:00,6.6,,6,,96,,0.5,,,,0,,,,100.14,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 0:00,2021,3,19,0:00,6.9,,6.4,,97,,4.4,,28,,4,,,,100.18,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 1:00,2021,3,19,1:00,7.3,,6,,92,,1.3,,13,,8,,,,100.25,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 2:00,2021,3,19,2:00,6.8,,6.1,,96,,0.6,,16,,7,,,,100.26,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 3:00,2021,3,19,3:00,6.3,,5.1,,92,,0.4,,15,,6,,,,100.28,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 4:00,2021,3,19,4:00,6.4,,5.2,,92,,0,,15,,7,,,,100.31,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 5:00,2021,3,19,5:00,5.7,,5.3,,97,,0,,35,,3,,,,100.39,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 6:00,2021,3,19,6:00,6.1,,4.3,,88,,0.1,,14,,7,,,,100.45,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 7:00,2021,3,19,7:00,5.7,,4.2,,90,,0,,16,,8,,,,100.47,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 8:00,2021,3,19,8:00,4.4,,4,,97,,0,,36,,1,,,,100.5,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 9:00,2021,3,19,9:00,4.5,,4.3,,98,,0,,5,,3,,,,100.51,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 10:00,2021,3,19,10:00,4.4,,4.1,,98,,0,,1,,2,,,,100.51,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 11:00,2021,3,19,11:00,4.6,,4.3,,98,,0,,8,,2,,,,100.54,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 12:00,2021,3,19,12:00,4.5,,4.3,,98,,1.2,,35,,3,,,,100.53,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 13:00,2021,3,19,13:00,4.4,,4.1,,98,,0.3,,35,,2,,,,100.56,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 14:00,2021,3,19,14:00,4.7,,4.4,,98,,0.6,,17,,4,,,,100.58,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 15:00,2021,3,19,15:00,5.1,,4.6,,96,,0.8,,11,,3,,,,100.62,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 16:00,2021,3,19,16:00,5.4,,4.8,,96,,2.2,,15,,6,,,,100.7,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 17:00,2021,3,19,17:00,5.7,,4.7,,93,,0.7,,14,,4,,,,100.72,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 18:00,2021,3,19,18:00,6.2,,5.6,,96,,0.4,,33,,3,,,,100.75,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 19:00,2021,3,19,19:00,7.2,,6.1,,93,,0,,33,,4,,,,100.72,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 20:00,2021,3,19,20:00,7,,6.1,,94,,1,,0,,1,,,,100.76,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 21:00,2021,3,19,21:00,7.2,,6.1,,92,,0.2,,16,,3,,,,100.74,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 22:00,2021,3,19,22:00,7.2,,6.1,,93,,0.1,,18,,3,,,,100.74,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/19/2021 23:00,2021,3,19,23:00,7.2,,6.2,,93,,0.5,,14,,5,,,,100.74,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 0:00,2021,3,20,0:00,7,,5.9,,93,,0.3,,16,,4,,,,100.75,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 1:00,2021,3,20,1:00,6.9,,6.3,,96,,0.1,,0,,1,,,,100.69,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 2:00,2021,3,20,2:00,6.4,,5.7,,95,,1.2,,18,,3,,,,100.67,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 3:00,2021,3,20,3:00,5.9,,5.5,,97,,0.7,,26,,1,,,,100.7,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 4:00,2021,3,20,4:00,5.5,,5.1,,98,,0.1,,32,,3,,,,100.69,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 5:00,2021,3,20,5:00,5.2,,4.8,,97,,0.1,,33,,2,,,,100.68,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 6:00,2021,3,20,6:00,5.1,,4.7,,98,,0.2,,32,,1,,,,100.69,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 7:00,2021,3,20,7:00,5.1,,4.8,,98,,0.5,,1,,3,,,,100.69,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 8:00,2021,3,20,8:00,4.8,,4.5,,98,,0.3,,34,,2,,,,100.68,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 9:00,2021,3,20,9:00,4.9,,4.6,,98,,0.6,,,,0,,,,100.72,,,,,,NA
-123.16,49.78,SQUAMISH AIRPORT,10476F0,3/20/2021 10:00,2021,3,20,10:00,4.7,,4.4,,98,,0.9,,,,0,,,,100.74,,,,,,NA
